[2024-03-31T09:02:59.694Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:00.697Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:01.698Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:02.711Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:03.721Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:04.744Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:05.749Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:06.764Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:07.777Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:08.777Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:09.778Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:10.793Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:11.795Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:12.809Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:13.812Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:14.815Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:15.819Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:16.834Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:17.836Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:18.850Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:19.850Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:20.864Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
[2024-03-31T09:03:21.865Z] [INFO] - Leader 2 sending heartbeat & Renewing Lease
